,agency_code,school,zip_code,year,2019_med_hh_inc,int_pubsr,int_privsr,int_commcoll,int_privjr,int_trdbusnrs,int_other,int_totalsecondary,AP_pass_pct,AP_part_pct,CTE_cred_pct,CTE_enroll_pct,enroll_All,enroll_AmericanIndian,enroll_Asian,enroll_Black,enroll_Disadvantaged,enroll_EnglishLearners,enroll_Female,enroll_Hispanic,enroll_Male,enroll_Twoormore,enroll_PacificIslander,enroll_Disabilities,enroll_White,secondary_counselors
84,600535,South Mecklenburg High School,28210,2013,87928.0,193.0,47.0,205.0,2.5,10.0,41.0,498.0,,,,,0.698989899,,,0.1393939394,0.2242424242,,0.3676767677,0.1191919192,0.3313131313,,,,0.3878787879,
85,600576,West Charlotte High School,28216,2013,64442.0,130.0,31.0,188.0,,14.0,27.0,390.0,,,,,0.4565217391,,,0.4184782609,0.3777173913,,0.2717391304,,0.1847826087,,,,,
86,600579,West Mecklenburg High School,28214,2013,65706.0,61.0,17.0,195.0,2.5,11.0,124.0,409.0,,,,,0.4648241206,,,0.3115577889,0.3190954774,,0.2989949749,0.0628140704,0.1658291457,,,,,
87,600592,Julius L. Chambers High School,28262,2013,,113.0,19.0,171.0,2.5,21.0,72.0,397.0,,,,,0.5536585366,,,0.3829268293,0.4,,0.3073170732,0.1097560976,0.2463414634,,,,,
88,600693,,,2013,,33.0,15.0,33.0,,,18.0,99.0,,,,,0.6078431373,,,0.1568627451,0.2156862745,,0.3921568628,0.0980392157,0.2156862745,,,,0.2941176471,
89,600694,,,2013,,43.0,15.0,41.0,,2.5,21.0,121.0,,,,,0.6416666667,,,0.2,0.1916666667,,0.175,0.0916666667,0.4666666667,,,,0.3083333333,
90,600695,,,2013,,9.0,2.5,48.0,2.5,2.5,29.0,94.0,,,,,0.5268817204,,,0.2688172043,0.3333333333,,0.3225806452,0.1612903226,0.2043010753,,,,,
91,600696,,,2013,,17.0,14.0,31.0,,,42.0,104.0,,,,,0.4851485149,,,0.297029703,0.2871287129,,0.3465346535,0.1782178218,0.1386138614,,,,,
92,600697,,,2013,,42.0,2.5,41.0,2.5,,7.0,96.0,,,,,0.7473684211,,0.0736842105,0.4105263158,0.3157894737,,0.4,0.0947368421,0.3473684211,,,,0.1578947368,
93,,,,2013,,3408.0,757.0,2962.0,42.0,185.0,1090.0,8444.0,,,,,,,,,,,,,,,,,,
94,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
95,600302,Ardrey Kell High School,28277,2014,109251.0,326.0,74.0,127.0,2.5,,25.0,553.0,0.83,0.39,,,0.8770053476,,0.0962566845,0.0837789661,0.0998217469,,0.4438502674,0.0802139037,0.4331550802,,,,0.5918003565,
96,600312,William Amos Hough High,28031,2014,91151.0,242.0,55.0,157.0,2.5,5.0,19.0,480.0,0.66,0.31,,,0.7873210634,,,0.081799591,0.100204499,,0.4192229039,,0.3680981595,,,,0.654396728,
97,600334,Cato Middle College High School,28215,2014,50704.0,69.0,8.0,17.0,,,2.5,96.0,0.53,0.72,,,0.8958333333,,0.09375,0.46875,0.25,,0.5729166667,0.0625,0.3229166667,,,,0.2604166667,
98,600361,Butler High School,28105,2014,117852.0,201.0,45.0,161.0,,8.0,73.0,488.0,0.68,0.24,,,0.7235772358,,,0.1951219512,0.2296747968,,0.3719512195,0.093495935,0.3516260163,,,,0.3841463415,
99,600364,Military and Global Leadership,28205,2014,50200.0,6.0,2.5,8.0,,,2.5,20.0,,0.44,,,0.75,,,0.35,0.45,0.05,0.4,0.25,0.35,,,,0.15,
100,600377,East Mecklenburg High School,28212,2014,46688.0,146.0,33.0,111.0,2.5,2.5,38.0,331.0,0.44,0.11,,,0.6617210683,,,0.3026706232,0.350148368,,0.3768545994,0.0830860534,0.2848664688,,,,0.2077151335,
101,600386,Hawthorne Academy of Health Sciences,28205,2014,50200.0,,,46.0,,,,46.0,,,,,0.0869565217,,,0.0652173913,0.0869565217,,0.0652173913,,,,,,,
102,600397,Garinger High School,28205,2014,50200.0,64.0,10.0,156.0,2.5,7.0,81.0,320.0,0.08,0.07,,,0.3806646526,,0.0543806647,0.2265861027,0.3111782477,0.0574018127,0.1993957704,0.0694864048,0.1812688822,,,,,
103,600405,Harding University High School,28208,2014,42570.0,99.0,30.0,124.0,,14.0,49.0,316.0,0.19,,,,0.4479495268,,,0.3690851735,0.334384858,,0.2839116719,,0.1640378549,,,,,
104,600415,Hopewell High School,28078,2014,82225.0,112.0,28.0,187.0,2.5,2.5,20.0,353.0,0.24,0.24,,,0.6358543417,,,0.2605042017,0.2212885154,,0.3585434174,,0.2773109244,,,,0.2941176471,
105,600426,Independence High School,28227,2014,43990.0,154.0,33.0,220.0,2.5,10.0,66.0,485.0,0.66,0.14,,,0.5758196721,,,0.1659836066,0.2356557377,,0.2868852459,0.0594262295,0.2889344262,,,,0.3032786885,
106,600445,Mallard Creek High School,28269,2014,60423.0,232.0,41.0,155.0,2.5,5.0,61.0,495.0,0.51,0.18,,,0.6848484849,,,0.3818181818,0.2525252525,,0.3393939394,,0.3454545455,,,,0.1838383838,
107,600457,Rocky River High School,28227,2014,43990.0,127.0,32.0,147.0,7.0,10.0,80.0,403.0,0.47,0.08,,,0.6144278607,,,0.3781094527,0.368159204,,0.3457711443,0.0771144279,0.2686567164,,,,0.0895522388,
108,600461,,,2014,,,,2.5,,,2.5,5.0,,,,,0.6,,,0.6,0.4,,,,0.6,,,,,
